,0,1,2,3,4,5,6,7,8,9,10
0,INTC,AIG,SLB,NVDA,HUM,PFE,GD,KR,ELV,CMCSA,CCL
1,JPM,UNH,MA,REGN,DLTR,RCL,ADBE,WFC,AMD,WYNN,GILD
2,FIS,BDX,SBUX,GS,SCHW,MET,BA,WBA,JNJ,ISRG,BSX
3,QCOM,AMAT,NKE,NFLX,MCD,DHR,AAPL,UPS,ADP,GE,LRCX
4,CHTR,VZ,AMGN,MS,LULU,LMT,CMG,MCK,MO,HON,BAC
5,TMUS,GOOG,MDT,FCX,AMT,KO,META,WDC,TSLA,XOM,
6,EA,DAL,ULTA,UNP,GM,ABBV,WMT,EBAY,MSFT,MRK,
7,STZ,TMO,EOG,AZO,TJX,HD,USB,BMY,NOW,MAR,
8,LOW,PG,NXPI,AAL,CTSH,ABT,ADSK,EXPE,LUV,CSX,
9,PANW,ORLY,CI,UAL,DE,BIIB,VLO,MRNA,MMM,FDX,
10,TXN,AVGO,T,DIS,VRTX,PXD,RTX,PNC,V,PM,
11,LIN,CRM,UBER,COST,CL,NEM,DD,INTU,MDLZ,TGT,
12,CSCO,ORCL,OXY,BKNG,IBM,F,CVX,COP,DG,CVS,
13,ACN,ILMN,NEE,MPC,CAT,HAL,MU,AMZN,C,PARA,
14,LLY,FI,GOOGL,BLK,SHW,PEP,AXP,PYPL,BRK-B,NOC,
